Case01 (Ts=310.581K Algorithm:I-LECTES)
wavelength      Lsur     Ldown  emis_est
  10.01954  11.29154   5.64518   0.93921
  10.04825  11.28345   5.47571   0.94126
  10.07712  11.28619   5.42242   0.94396
  10.10615  11.29258   5.42364   0.94681
  10.13536  11.29905   5.45946   0.94947
  10.16473  11.30759   5.53690   0.95226
  10.19428  11.31559   5.64502   0.95489
  10.22399  11.33362   5.94054   0.95806
  10.25388  11.35111   6.23750   0.96158
  10.28395  11.34422   6.18161   0.96334
  10.31419  11.32654   5.96889   0.96420
  10.34461  11.31344   5.84514   0.96533
  10.37521  11.29909   5.73504   0.96619
  10.40599  11.28679   5.70560   0.96701
  10.43695  11.27958   5.86531   0.96771
  10.46810  11.27029   6.04993   0.96802
  10.49943  11.25362   6.06668   0.96805
  10.53095  11.23909   6.15996   0.96810
  10.56267  11.21963   6.19782   0.96763
  10.59457  11.18906   5.99896   0.96661
  10.62666  11.16133   5.89059   0.96569
  10.65895  11.13425   5.83825   0.96464
  10.69144  11.10785   5.80675   0.96367
  10.72413  11.08568   5.86680   0.96294
  10.75701  11.06473   5.96590   0.96221
  10.79010  11.04526   6.16346   0.96109
  10.82339  11.02607   6.42493   0.95948
  10.85689  10.99620   6.39632   0.95809
  10.89059  10.95793   6.13727   0.95710
  10.92450  10.92689   6.03813   0.95634
  10.95863  10.90603   6.21221   0.95528
  10.99297  10.88897   6.51877   0.95374
  11.02752  10.86268   6.45747   0.95388
  11.06230  10.82803   6.09982   0.95517
  11.09729  10.79918   5.97311   0.95553
  11.13250  10.77548   6.03212   0.95536
  11.16794  10.74869   6.05494   0.95497
  11.20360  10.72511   6.19874   0.95418
  11.23949  10.70809   6.53304   0.95290
  11.27562  10.68400   6.67605   0.95202
  11.31197  10.65160   6.55763   0.95221
  11.34856  10.62031   6.48953   0.95220
  11.38538  10.58756   6.41479   0.95202
  11.42245  10.55466   6.30821   0.95225
  11.45976  10.52843   6.39735   0.95197
  11.49731  10.50078   6.45338   0.95182
  11.53511  10.46920   6.46199   0.95136
  11.57316  10.43694   6.45151   0.95107
  11.61146  10.40336   6.31164   0.95204
  11.65001  10.37423   6.39660   0.95161
  11.68882  10.35517   6.92274   0.94809
  11.72789  10.33087   7.29844   0.94444
  11.76722  10.28768   6.95369   0.94681
  11.80681  10.24241   6.44080   0.95054
  11.84667  10.20730   6.38099   0.95085
  11.88680  10.17815   6.63745   0.94873
  11.92721  10.14382   6.64197   0.94863
  11.96789  10.10353   6.42383   0.95005
  12.00884  10.06610   6.33689   0.95055
  12.05008  10.03511   6.51667   0.94936
  12.09160  10.00496   6.73351   0.94782
  12.13341   9.96905   6.57764   0.95017
  12.17551   9.92983   6.32694   0.95280
  12.21790   9.89202   6.39453   0.95175
  12.26059   9.86038   6.71018   0.94894
  12.30357   9.82623   6.78702   0.94885
  12.34686   9.78346   6.72171   0.94846
  12.39045   9.73664   6.89423   0.94277
  12.43436   9.68739   7.05238   0.93581
  12.47857   9.64101   7.20056   0.92930
  12.52310   9.60371   7.54517   0.91914
  12.56794   9.56933   7.65166   0.91715
  12.61311   9.52925   7.22473   0.93105
  12.65861   9.48199   6.72758   0.94030
  12.70443   9.43440   6.74400   0.93761
  12.75059   9.38797   6.96229   0.93033
  12.79708   9.34221   6.91747   0.92975
  12.84391   9.30840   7.07609   0.92829
  12.89109   9.27382   7.14196   0.92935
  12.93861   9.23170   6.89240   0.93641
  12.98648   9.19570   6.90910   0.93876
  13.03471   9.15724   6.89045   0.94122
  13.08330   9.11522   6.74144   0.94537
  13.13225   9.07789   6.77882   0.94737
  13.18157   9.04095   6.95323   0.94671
  13.23126   9.00447   7.26722   0.94223
  13.28133   8.96661   7.45030   0.94014
  13.33177   8.92434   7.38200   0.94450
  13.38260   8.88217   7.40291   0.94609
  13.43382   8.84051   7.55646   0.94335
  13.48544   8.79668   7.62763   0.94217
  13.53744   8.74877   7.52649   0.94572
  13.58986   8.69959   7.40111   0.94919
  13.64268   8.65549   7.41477   0.95133
  13.69591   8.61327   7.45806   0.95437
  13.74955   8.56631   7.34165   0.95971
  13.80362   8.51645   7.21776   0.96278
  13.85812   8.46623   7.31307   0.95920
  13.91304   8.42010   7.40812   0.95877
  13.96840   8.37671   7.35626   0.96688

Case04 (Ts=310.336K Algorithm:GRAYBODY)
wavelength      Lsur     Ldown  emis_est
   8.00592  11.17987   7.23210   1.00972
   8.02425  11.18743   7.59715   1.00972
   8.04267  11.19478   7.99679   1.00972
   8.06117  11.18030   7.61695   1.00972
   8.07976  11.14144   6.90223   1.00972
   8.09843  11.07455   6.00096   0.96433
   8.11719  11.01961   5.46934   0.96433
   8.13604  11.03012   6.07155   0.96433
   8.15497  11.08785   7.27927   0.96433
   8.17399  11.09647   7.68002   0.96433
   8.19310  11.06810   7.44117   0.93133
   8.21230  11.03943   7.17367   0.93133
   8.23159  11.04510   7.25527   0.93133
   8.25097  11.08307   7.65801   0.93133
   8.27045  11.01025   6.93007   0.93133
   8.29001  10.88832   5.70697   0.91015
