Case01 (Ts=310.079K Algorithm:GRAYBODY)
wavelength      Lsur     Ldown  emis_est
   8.13604  10.93518   6.07155   0.95052
   8.15497  10.99920   7.27927   0.94710
   8.17399  11.01136   7.68002   0.93965
   8.19310  10.98044   7.44117   0.93084
   8.21230  10.94699   7.17367   0.92313
   8.23159  10.95287   7.25527   0.91901
   8.25097  10.99293   7.65801   0.91670
   8.27045  10.91434   6.93007   0.90906
   8.29001  10.77940   5.70697   0.90214
   8.30967  10.72060   5.20362   0.89818
   8.32941  10.79316   5.77590   0.89815
   8.34926  10.87888   6.47084   0.89829
   8.36920  10.81730   5.94337   0.89428
   8.38923  10.77825   5.56632   0.89209
   8.40936  10.89006   6.40936   0.89358
   8.42958  10.96568   6.93046   0.89516
   8.44991  10.87452   6.08059   0.89239
   8.47033  10.79038   5.36808   0.88911
   8.49085  10.88674   6.10852   0.88949
   8.51147  11.04118   7.24518   0.89348
   8.53219  10.98810   6.69176   0.89227
   8.55301  10.88073   5.68473   0.89051
   8.57393  10.96368   6.09723   0.89542
   8.59495  11.00485   5.96076   0.90341
   8.61608  10.95303   4.99066   0.90816
   8.63731  10.93465   4.68615   0.90804
   8.65865  10.96978   5.31398   0.90282
   8.68009  11.05803   6.40447   0.89752
   8.70164  11.02104   6.32787   0.89021
   8.72329  10.86449   5.24618   0.88285
   8.74506  10.79296   4.77830   0.87915
   8.76693  10.86009   5.29606   0.87855
   8.78891  11.04245   6.63514   0.88090
   8.81100  11.07662   6.86212   0.88078
   8.83320  10.89731   5.52454   0.87634
   8.85552  10.79341   4.74134   0.87430
   8.87794  10.80809   4.76913   0.87495
   8.90048  10.90752   5.39778   0.87724
   8.92314  10.99774   5.96753   0.87972
   8.94591  10.95065   5.50098   0.88023
   8.96879  10.92578   5.21822   0.88078
   8.99180  10.99103   5.65278   0.88214
   9.01492  11.03426   5.95604   0.88260
   9.03816  11.02519   5.91087   0.88117
   9.06152  11.01451   5.86761   0.87951
   9.08500  11.02802   5.99419   0.87853
   9.10861  10.95537   5.52734   0.87539
   9.13233  10.88655   5.10277   0.87251
   9.15618  10.93136   5.45477   0.87205
   9.18016  10.93779   5.51867   0.87137
   9.20426  10.90255   5.29759   0.86999
   9.22848  10.89162   5.26645   0.86864
   9.25284  10.88019   5.22699   0.86746
   9.27732  10.90944   5.42218   0.86782
   9.30193  10.97898   5.85968   0.86968
   9.32668  10.97210   5.74447   0.87097
   9.35155  10.97184   5.64708   0.87297
   9.37656  11.06093   6.12562   0.87806
   9.40170  11.11225   6.32931   0.88306
   9.42698  11.13049   6.38707   0.88539
   9.45239  11.15296   6.54712   0.88645
   9.47794  11.16324   6.61682   0.88725
   9.50363  11.17811   6.70219   0.88871
   9.52946  11.15936   6.53645   0.88912
   9.55542  11.09004   5.99964   0.88791
   9.58153  11.06605   5.79691   0.88824
   9.60779  11.11318   6.11326   0.89097
   9.63418  11.13860   6.22061   0.89419
   9.66072  11.14304   6.12213   0.89763
   9.68741  11.18911   6.37613   0.90228
   9.71425  11.23294   6.62084   0.90721
   9.74123  11.21654   6.32354   0.91034
   9.76837  11.19278   5.99543   0.91238
   9.79565  11.20630   6.07020   0.91477
   9.82309  11.23190   6.29756   0.91719
   9.85068  11.23775   6.35217   0.91880
   9.87843  11.22952   6.25575   0.92014
   9.90633  11.21213   6.03622   0.92160
   9.93440  11.18676   5.74763   0.92257
   9.96262  11.18231   5.67062   0.92432
   9.99100  11.19530   5.73217   0.92732
  10.01954  11.19702   5.64518   0.93030
  10.04825  11.19113   5.47571   0.93293
  10.07712  11.19516   5.42242   0.93589
  10.10615  11.20141   5.42364   0.93870
  10.13536  11.20823   5.45946   0.94135
  10.16473  11.21923   5.53690   0.94441
  10.19428  11.23106   5.64502   0.94752
  10.22399  11.25268   5.94054   0.95092
  10.25388  11.27231   6.23750   0.95443
  10.28395  11.26676   6.18161   0.95647
  10.31419  11.25078   5.96889   0.95786
  10.34461  11.24030   5.84514   0.95956
  10.37521  11.22638   5.73504   0.96057
  10.40599  11.21330   5.70560   0.96124
  10.43695  11.20990   5.86531   0.96242
  10.46810  11.20433   6.04993   0.96319
  10.49943  11.18715   6.06668   0.96306
  10.53095  11.17378   6.15996   0.96319
  10.56267  11.15683   6.19782   0.96312
  10.59457  11.12614   5.99896   0.96219
  10.62666  11.09809   5.89059   0.96124
  10.65895  11.07246   5.83825   0.96044
  10.69144  11.04964   5.80675   0.96010
  10.72413  11.03178   5.86680   0.96007
  10.75701  11.01203   5.96590   0.95947
  10.79010  10.99295   6.16346   0.95826
  10.82339  10.97583   6.42493   0.95686
  10.85689  10.94782   6.39632   0.95581
  10.89059  10.91049   6.13727   0.95508
  10.92450  10.87954   6.03813   0.95432
  10.95863  10.86142   6.21221   0.95369
  10.99297  10.84873   6.51877   0.95294
  11.02752  10.82268   6.45747   0.95310
  11.06230  10.78512   6.09982   0.95382
  11.09729  10.75423   5.97311   0.95377
  11.13250  10.73185   6.03212   0.95379
  11.16794  10.70868   6.05494   0.95409
