Case01 (Ts=313.629K Algorithm:GRAYBODY)
wavelength      Lsur     Ldown  emis_est
   8.55301  11.45789   5.39044   0.88076
   8.57393  11.54662   5.83386   0.88476
   8.59495  11.59547   5.68974   0.89318
   8.61608  11.53813   4.63997   0.89907
   8.63731  11.51401   4.30641   0.89910
   8.65865  11.55045   4.98320   0.89355
   8.68009  11.64391   6.16342   0.88695
   8.70164  11.59797   6.07963   0.87982
   8.72329  11.41887   4.90360   0.87371
   8.74506  11.33606   4.39366   0.87046
   8.76693  11.40997   4.95336   0.86969
   8.78891  11.60903   6.40437   0.87023
   8.81100  11.64406   6.65337   0.86957
   8.83320  11.44423   5.20318   0.86723
   8.85552  11.32589   4.34965   0.86589
   8.87794  11.33989   4.37724   0.86649
   8.90048  11.45104   5.05954   0.86852
   8.92314  11.55286   5.68035   0.87081
   8.94591  11.49801   5.17331   0.87166
   8.96879  11.46435   4.86207   0.87194
   8.99180  11.53605   5.33295   0.87301
   9.01492  11.58540   5.66478   0.87356
   9.03816  11.57585   5.61716   0.87259
   9.06152  11.56349   5.56963   0.87127
   9.08500  11.57316   5.70570   0.86975
   9.10861  11.48632   5.19873   0.86660
   9.13233  11.40829   4.73591   0.86427
   9.15618  11.45672   5.11353   0.86370
   9.18016  11.45959   5.18489   0.86262
   9.20426  11.41839   4.94675   0.86141
   9.22848  11.40551   4.90943   0.86035
   9.25284  11.39150   4.86377   0.85936
   9.27732  11.42314   5.07414   0.85970
   9.30193  11.50027   5.54888   0.86134
   9.32668  11.49324   5.42454   0.86296
   9.35155  11.49509   5.31740   0.86549
   9.37656  11.59625   5.83829   0.87048
   9.40170  11.65416   6.06644   0.87528
   9.42698  11.67933   6.13177   0.87840
   9.45239  11.71088   6.30850   0.88054
   9.47794  11.72291   6.38783   0.88154
   9.50363  11.73526   6.48100   0.88241
   9.52946  11.71040   6.30057   0.88251
   9.55542  11.63050   5.70869   0.88165
   9.58153  11.60339   5.48107   0.88235
   9.60779  11.65876   5.83239   0.88531
   9.63418  11.68834   5.95526   0.88861
   9.66072  11.69067   5.84479   0.89180
   9.68741  11.73901   6.11875   0.89584
   9.71425  11.78689   6.38611   0.90036
   9.74123  11.76885   6.06281   0.90380
   9.76837  11.74149   5.70496   0.90606
   9.79565  11.75479   5.78703   0.90819
   9.82309  11.78179   6.03199   0.91030
   9.85068  11.78801   6.08495   0.91202
   9.87843  11.77798   5.97832   0.91345
   9.90633  11.75580   5.73860   0.91477
   9.93440  11.72754   5.41615   0.91620
   9.96262  11.72542   5.32214   0.91860
   9.99100  11.74113   5.38385   0.92181
  10.01954  11.74266   5.28397   0.92486
  10.04825  11.73419   5.09212   0.92742
  10.07712  11.73648   5.02978   0.93015
  10.10615  11.74486   5.02984   0.93317
  10.13536  11.75514   5.06697   0.93620
  10.16473  11.76790   5.15045   0.93929
  10.19428  11.78183   5.26903   0.94240
  10.22399  11.80767   5.59424   0.94581
  10.25388  11.83241   5.92554   0.94944
  10.28395  11.82962   5.86684   0.95207
  10.31419  11.81247   5.62989   0.95376
  10.34461  11.79952   5.49398   0.95537
  10.37521  11.78568   5.37409   0.95675
  10.40599  11.77701   5.34007   0.95839
  10.43695  11.77873   5.51674   0.96040
  10.46810  11.77607   5.72470   0.96172
  10.49943  11.76074   5.74725   0.96228
  10.53095  11.75029   5.85345   0.96322
  10.56267  11.73608   5.89890   0.96400
  10.59457  11.70707   5.68102   0.96399
  10.62666  11.68107   5.56222   0.96397
  10.65895  11.65616   5.50503   0.96384
  10.69144  11.63289   5.47105   0.96391
  10.72413  11.61543   5.53929   0.96439
  10.75701  11.59826   5.65175   0.96475
  10.79010  11.58256   5.87491   0.96480
  10.82339  11.56754   6.16991   0.96461
  10.85689  11.54038   6.14184   0.96437
  10.89059  11.50146   5.85576   0.96377
  10.92450  11.46746   5.74606   0.96304
  10.95863  11.44805   5.94067   0.96296
  10.99297  11.43573   6.28661   0.96323
  11.02752  11.40954   6.21944   0.96384
  11.06230  11.37094   5.81609   0.96445
  11.09729  11.33848   5.67624   0.96453
  11.13250  11.31344   5.74651   0.96469
  11.16794  11.28769   5.77232   0.96508
  11.20360  11.26591   5.93388   0.96543
  11.23949  11.25103   6.31140   0.96580
  11.27562  11.22867   6.47749   0.96626
  11.31197  11.19501   6.34890   0.96654
  11.34856  11.16097   6.27251   0.96649
  11.38538  11.12611   6.18760   0.96642
  11.42245  11.09097   6.06704   0.96661
  11.45976  11.06396   6.16838   0.96704
  11.49731  11.03531   6.23535   0.96747
  11.53511  11.00297   6.24963   0.96761
  11.57316  10.97103   6.23897   0.96808
  11.61146  10.93565   6.07855   0.96890
  11.65001  10.90530   6.17469   0.96921
  11.68882  10.88708   6.77367   0.96889
  11.72789  10.86343   7.20495   0.96853
  11.76722  10.81755   6.81746   0.96912
  11.80681  10.76686   6.23600   0.96995
  11.84667  10.72922   6.16808   0.97026
  11.88680  10.69959   6.45981   0.97008
  11.92721  10.66283   6.46637   0.97030
  11.96789  10.62061   6.22368   0.97103
  12.00884  10.58128   6.12897   0.97152
  12.05008  10.54763   6.33335   0.97147
  12.09160  10.51512   6.58451   0.97146
  12.13341  10.47397   6.41335   0.97238
  12.17551  10.43153   6.13184   0.97371
  12.21790  10.39475   6.21094   0.97421
  12.26059  10.36210   6.57566   0.97405
  12.30357  10.32346   6.66862   0.97426
  12.34686  10.27384   6.59223   0.97283
  12.39045  10.21966   6.78670   0.96807
  12.43436  10.16247   6.96974   0.96196
  12.47857  10.11048   7.14179   0.95693
  12.52310  10.07193   7.53749   0.95222
  12.56794  10.03436   7.66414   0.95206
  12.61311   9.98692   7.17925   0.95869
  12.65861   9.93064   6.61133   0.96202
  12.70443   9.87692   6.63212   0.95915
  12.75059   9.82640   6.88847   0.95398
  12.79708   9.77449   6.84017   0.95251
  12.84391   9.73693   7.01972   0.95230
  12.89109   9.69889   7.09793   0.95379
  12.93861   9.65083   6.81650   0.95757
  12.98648   9.61169   6.83663   0.95993
  13.03471   9.57114   6.81639   0.96255
  13.08330   9.52436   6.64721   0.96500
  13.13225   9.48081   6.69144   0.96607
  13.18157   9.43892   6.89311   0.96602
  13.23126   9.39919   7.25446   0.96465
  13.28133   9.35783   7.46805   0.96479
  13.33177   9.31145   7.39488   0.96769
  13.38260   9.26515   7.41944   0.96922
  13.43382   9.21937   7.59232   0.96882
  13.48544   9.17137   7.67390   0.96893
  13.53744   9.11971   7.56600   0.97063
  13.58986   9.06641   7.42959   0.97190
  13.64268   9.01671   7.44333   0.97297
  13.69591   8.96832   7.49303   0.97458
  13.74955   8.91496   7.36742   0.97609
  13.80362   8.85827   7.23087   0.97579
  13.85812   8.80190   7.33659   0.97199
  13.91304   8.75170   7.44509   0.97202
  13.96840   8.70415   7.39184   0.97760

Case03 (Ts=313.953K Algorithm:LECTES)
wavelength      Lsur     Ldown  emis_est
   8.00592  11.82541   7.13099   0.99314
   8.02425  11.83014   7.51606   0.98613
   8.04267  11.83172   7.93839   0.97909
   8.06117  11.80725   7.53697   0.97202
   8.07976  11.75572   6.77935   0.96491
   8.09843  11.67195   5.81348   0.95242
   8.11719  11.60371   5.23522   0.94438
   8.13604  11.61185   5.87415   0.93631
   8.15497  11.67164   7.16562   0.92820
   8.17399  11.67932   7.59329   0.92005
   8.19310  11.64408   7.33504   0.91224
   8.21230  11.60175   7.04649   0.90740
   8.23159  11.60094   7.13004   0.90254
   8.25097  11.63953   7.55775   0.89766
   8.27045  11.54966   6.78039   0.89275
   8.29001  11.39490   5.46379   0.88834
   8.30967  11.32073   4.90999   0.88599
   8.32941  11.39395   5.51803   0.88361
   8.34926  11.48256   6.26711   0.88123
   8.36920  11.40934   5.70178   0.87884
   8.38923  11.36405   5.29062   0.87801
   8.40936  11.48690   6.18978   0.87734
   8.42958  11.56576   6.75120   0.87666
   8.44991  11.45859   5.83879   0.87598
   8.47033  11.36564   5.07093   0.87530
   8.49085  11.47253   5.86773   0.87371
   8.51147  11.63924   7.08563   0.87496
   8.53219  11.57929   6.48163   0.87623
   8.55301  11.45789   5.39044   0.87749
   8.57393  11.54662   5.83386   0.87877
   8.59495  11.59547   5.68974   0.89437
   8.61608  11.53813   4.63997   0.89257
   8.63731  11.51401   4.30641   0.89075
   8.65865  11.55045   4.98320   0.88893
   8.68009  11.64391   6.16342   0.88710
   8.70164  11.59797   6.07963   0.87285
   8.72329  11.41887   4.90360   0.87052
   8.74506  11.33606   4.39366   0.86818
   8.76693  11.40997   4.95336   0.86583
   8.78891  11.60903   6.40437   0.86346
   8.81100  11.64406   6.65337   0.86308
   8.83320  11.44423   5.20318   0.86317
   8.85552  11.32589   4.34965   0.86326
   8.87794  11.33989   4.37724   0.86335
   8.90048  11.45104   5.05954   0.86344
   8.92314  11.55286   5.68035   0.86669
   8.94591  11.49801   5.17331   0.86737
   8.96879  11.46435   4.86207   0.86805
   8.99180  11.53605   5.33295   0.86874
   9.01492  11.58540   5.66478   0.86943
   9.03816  11.57585   5.61716   0.86878
   9.06152  11.56349   5.56963   0.86679
   9.08500  11.57316   5.70570   0.86479
   9.10861  11.48632   5.19873   0.86278
   9.13233  11.40829   4.73591   0.86075
   9.15618  11.45672   5.11353   0.85976
   9.18016  11.45959   5.18489   0.85872
   9.20426  11.41839   4.94675   0.85769
   9.22848  11.40551   4.90943   0.85664
   9.25284  11.39150   4.86377   0.85559
   9.27732  11.42314   5.07414   0.85509
   9.30193  11.50027   5.54888   0.85751
   9.32668  11.49324   5.42454   0.85995
   9.35155  11.49509   5.31740   0.86240
   9.37656  11.59625   5.83829   0.86487
   9.40170  11.65416   6.06644   0.87172
   9.42698  11.67933   6.13177   0.87338
   9.45239  11.71088   6.30850   0.87505
   9.47794  11.72291   6.38783   0.87674
   9.50363  11.73526   6.48100   0.87843
   9.52946  11.71040   6.30057   0.87642
   9.55542  11.63050   5.70869   0.87807
   9.58153  11.60339   5.48107   0.87973
   9.60779  11.65876   5.83239   0.88140
   9.63418  11.68834   5.95526   0.88308
   9.66072  11.69067   5.84479   0.88786
   9.68741  11.73901   6.11875   0.89148
   9.71425  11.78689   6.38611   0.89512
   9.74123  11.76885   6.06281   0.89878
   9.76837  11.74149   5.70496   0.90247
   9.79565  11.75479   5.78703   0.90412
   9.82309  11.78179   6.03199   0.90575
   9.85068  11.78801   6.08495   0.90739
   9.87843  11.77798   5.97832   0.90903
   9.90633  11.75580   5.73860   0.91069
   9.93440  11.72754   5.41615   0.91202
   9.96262  11.72542   5.32214   0.91490
   9.99100  11.74113   5.38385   0.91780
  10.01954  11.74266   5.28397   0.92071
  10.04825  11.73419   5.09212   0.92364
  10.07712  11.73648   5.02978   0.92633
  10.10615  11.74486   5.02984   0.92933
  10.13536  11.75514   5.06697   0.93234
  10.16473  11.76790   5.15045   0.93538
  10.19428  11.78183   5.26903   0.93842
  10.22399  11.80767   5.59424   0.94226
  10.25388  11.83241   5.92554   0.94462
  10.28395  11.82962   5.86684   0.94698
  10.31419  11.81247   5.62989   0.94937
  10.34461  11.79952   5.49398   0.95176
  10.37521  11.78568   5.37409   0.95300
  10.40599  11.77701   5.34007   0.95436
  10.43695  11.77873   5.51674   0.95573
  10.46810  11.77607   5.72470   0.95711
  10.49943  11.76074   5.74725   0.95850
  10.53095  11.75029   5.85345   0.95915
  10.56267  11.73608   5.89890   0.95934
  10.59457  11.70707   5.68102   0.95953
  10.62666  11.68107   5.56222   0.95973
  10.65895  11.65616   5.50503   0.95992
  10.69144  11.63289   5.47105   0.96007
  10.72413  11.61543   5.53929   0.96014
  10.75701  11.59826   5.65175   0.96022
  10.79010  11.58256   5.87491   0.96029
  10.82339  11.56754   6.16991   0.96037
  10.85689  11.54038   6.14184   0.95970
  10.89059  11.50146   5.85576   0.95936
  10.92450  11.46746   5.74606   0.95902
  10.95863  11.44805   5.94067   0.95868
  10.99297  11.43573   6.28661   0.95833
  11.02752  11.40954   6.21944   0.95952
  11.06230  11.37094   5.81609   0.95986
  11.09729  11.33848   5.67624   0.96020
  11.13250  11.31344   5.74651   0.96054
  11.16794  11.28769   5.77232   0.96089
  11.20360  11.26591   5.93388   0.96098
  11.23949  11.25103   6.31140   0.96120
  11.27562  11.22867   6.47749   0.96142
  11.31197  11.19501   6.34890   0.96164
  11.34856  11.16097   6.27251   0.96186
  11.38538  11.12611   6.18760   0.96183
  11.42245  11.09097   6.06704   0.96212
  11.45976  11.06396   6.16838   0.96241
  11.49731  11.03531   6.23535   0.96270
  11.53511  11.00297   6.24963   0.96300
  11.57316  10.97103   6.23897   0.96411
  11.61146  10.93565   6.07855   0.96395
  11.65001  10.90530   6.17469   0.96378
  11.68882  10.88708   6.77367   0.96361
  11.72789  10.86343   7.20495   0.96344
  11.76722  10.81755   6.81746   0.96449
  11.80681  10.76686   6.23600   0.96476
  11.84667  10.72922   6.16808   0.96503
  11.88680  10.69959   6.45981   0.96531
  11.92721  10.66283   6.46637   0.96558
  11.96789  10.62061   6.22368   0.96637
  12.00884  10.58128   6.12897   0.96652
  12.05008  10.54763   6.33335   0.96668
  12.09160  10.51512   6.58451   0.96683
  12.13341  10.47397   6.41335   0.96699
  12.17551  10.43153   6.13184   0.96936
  12.21790  10.39475   6.21094   0.96902
  12.26059  10.36210   6.57566   0.96868
  12.30357  10.32346   6.66862   0.96834
  12.34686  10.27384   6.59223   0.96799
  12.39045  10.21966   6.78670   0.96142
  12.43436  10.16247   6.96974   0.95658
  12.47857  10.11048   7.14179   0.95171
  12.52310  10.07193   7.53749   0.94680
  12.56794  10.03436   7.66414   0.94186
  12.61311   9.98692   7.17925   0.95590
  12.65861   9.93064   6.61133   0.95379
  12.70443   9.87692   6.63212   0.95168
  12.75059   9.82640   6.88847   0.94954
  12.79708   9.77449   6.84017   0.94740
  12.84391   9.73693   7.01972   0.94553
  12.89109   9.69889   7.09793   0.94823
  12.93861   9.65083   6.81650   0.95095
  12.98648   9.61169   6.83663   0.95369
  13.03471   9.57114   6.81639   0.95645
  13.08330   9.52436   6.64721   0.95996
  13.13225   9.48081   6.69144   0.95919
  13.18157   9.43892   6.89311   0.95840
  13.23126   9.39919   7.25446   0.95761
  13.28133   9.35783   7.46805   0.95681
  13.33177   9.31145   7.39488   0.95942
  13.38260   9.26515   7.41944   0.95946
  13.43382   9.21937   7.59232   0.95950
  13.48544   9.17137   7.67390   0.95954
  13.53744   9.11971   7.56600   0.95958
  13.58986   9.06641   7.42959   0.96214
  13.64268   9.01671   7.44333   0.96325
  13.69591   8.96832   7.49303   0.96436
  13.74955   8.91496   7.36742   0.96549
  13.80362   8.85827   7.23087   0.96663
  13.85812   8.80190   7.33659   0.96082
  13.91304   8.75170   7.44509   0.96295
  13.96840   8.70415   7.39184   0.96511

Case04 (Ts=313.906K Algorithm:I-LECTES)
wavelength      Lsur     Ldown  emis_est
   8.00592  11.82541   7.13099   0.99715
   8.02425  11.83014   7.51606   0.98881
   8.04267  11.83172   7.93839   0.98044
   8.06117  11.80725   7.53697   0.97203
   8.07976  11.75572   6.77935   0.96358
   8.09843  11.67195   5.81348   0.95509
   8.11719  11.60371   5.23522   0.94691
   8.13604  11.61185   5.87415   0.93870
   8.15497  11.67164   7.16562   0.93045
   8.17399  11.67932   7.59329   0.92217
   8.19310  11.64408   7.33504   0.91384
   8.21230  11.60175   7.04649   0.90896
   8.23159  11.60094   7.13004   0.90405
   8.25097  11.63953   7.55775   0.89913
   8.27045  11.54966   6.78039   0.89417
   8.29001  11.39490   5.46379   0.88920
   8.30967  11.32073   4.90999   0.88733
   8.32941  11.39395   5.51803   0.88545
   8.34926  11.48256   6.26711   0.88356
   8.36920  11.40934   5.70178   0.88166
   8.38923  11.36405   5.29062   0.87975
   8.40936  11.48690   6.18978   0.87833
   8.42958  11.56576   6.75120   0.87690
   8.44991  11.45859   5.83879   0.87547
   8.47033  11.36564   5.07093   0.87403
   8.49085  11.47253   5.86773   0.87258
   8.51147  11.63924   7.08563   0.87677
   8.53219  11.57929   6.48163   0.88099
   8.55301  11.45789   5.39044   0.88522
   8.57393  11.54662   5.83386   0.88948
   8.59495  11.59547   5.68974   0.89375
   8.61608  11.53813   4.63997   0.89084
   8.63731  11.51401   4.30641   0.88791
   8.65865  11.55045   4.98320   0.88496
   8.68009  11.64391   6.16342   0.88200
   8.70164  11.59797   6.07963   0.87903
   8.72329  11.41887   4.90360   0.87552
   8.74506  11.33606   4.39366   0.87200
   8.76693  11.40997   4.95336   0.86847
   8.78891  11.60903   6.40437   0.86491
   8.81100  11.64406   6.65337   0.86134
   8.83320  11.44423   5.20318   0.86257
   8.85552  11.32589   4.34965   0.86382
   8.87794  11.33989   4.37724   0.86506
   8.90048  11.45104   5.05954   0.86632
   8.92314  11.55286   5.68035   0.86758
   8.94591  11.49801   5.17331   0.86813
   8.96879  11.46435   4.86207   0.86869
   8.99180  11.53605   5.33295   0.86925
   9.01492  11.58540   5.66478   0.86982
   9.03816  11.57585   5.61716   0.87038
   9.06152  11.56349   5.56963   0.86842
   9.08500  11.57316   5.70570   0.86645
   9.10861  11.48632   5.19873   0.86447
   9.13233  11.40829   4.73591   0.86248
   9.15618  11.45672   5.11353   0.86047
   9.18016  11.45959   5.18489   0.85945
   9.20426  11.41839   4.94675   0.85842
   9.22848  11.40551   4.90943   0.85738
   9.25284  11.39150   4.86377   0.85634
   9.27732  11.42314   5.07414   0.85530
   9.30193  11.50027   5.54888   0.85863
   9.32668  11.49324   5.42454   0.86197
   9.35155  11.49509   5.31740   0.86534
   9.37656  11.59625   5.83829   0.86872
   9.40170  11.65416   6.06644   0.87212
   9.42698  11.67933   6.13177   0.87339
   9.45239  11.71088   6.30850   0.87466
   9.47794  11.72291   6.38783   0.87595
   9.50363  11.73526   6.48100   0.87724
   9.52946  11.71040   6.30057   0.87853
   9.55542  11.63050   5.70869   0.88040
   9.58153  11.60339   5.48107   0.88227
   9.60779  11.65876   5.83239   0.88416
   9.63418  11.68834   5.95526   0.88605
   9.66072  11.69067   5.84479   0.88796
   9.68741  11.73901   6.11875   0.89161
   9.71425  11.78689   6.38611   0.89529
   9.74123  11.76885   6.06281   0.89899
   9.76837  11.74149   5.70496   0.90270
   9.79565  11.75479   5.78703   0.90644
   9.82309  11.78179   6.03199   0.90777
   9.85068  11.78801   6.08495   0.90911
   9.87843  11.77798   5.97832   0.91045
   9.90633  11.75580   5.73860   0.91180
   9.93440  11.72754   5.41615   0.91316
   9.96262  11.72542   5.32214   0.91597
   9.99100  11.74113   5.38385   0.91879
  10.01954  11.74266   5.28397   0.92163
